Protein 1	Protein 2	Integrated score	evidence: Protein co-expression	evidence: Co-dependence	evidence: Sequence similarity	evidence: Physical	evidence: mRNA co-expression	edge_role
A1BG	CFH	0.445	0.547	0.0	0.011	0.186	0.293	core
A1BG	CFHR1	0.408	0.522	0.115	0.114	0.07	0.28	core
A1BG	CFHR2	0.328	0.505	0.028	0.036	0.075	0.244	core
A1BG	CFI	0.358	0.556	0.099	0.014	0.121	0.299	core
A1BG	CP	0.375	0.554	0.028	0.003	0.259	0.199	core
A1BG	CPB2	0.417	0.456	0.021	0.167	0.125	0.347	core
A1BG	CPN2	0.342	0.538	0.003	0.008	0.08	0.42	core
A1BG	CYP4F2	0.435	0.056	0.001	0.011	0.124	0.453	core
A1BG	F2	0.637	0.527	0.051	0.104	0.088	0.559	core
A1BG	F7	0.341	0.254	0.122	0.083	0.114	0.454	core
A1BG	F11	0.481	0.488	0.069	0.118	0.108	0.37	core
A1BG	F12	0.523	0.515	0.036	0.108	0.124	0.423	core
A1BG	FABP1	0.306	0.003	0.241	0.001	0.115	0.471	core
A1BG	FGA	0.371	0.425	0.038	0.128	0.239	0.53	core
A1BG	FGB	0.438	0.428	0.062	0.001	0.166	0.507	core
A1BG	FGG	0.318	0.406	0.001	0.004	0.212	0.373	core
A1BG	GC	0.51	0.608	0.023	0.006	0.181	0.38	core
A1BG	GPLD1	0.376	0.447	0.018	0.105	0.131	0.311	core
A1BG	HABP2	0.357	0.407	0.029	0.016	0.089	0.317	core
A1BG	HP	0.351	0.39	0.075	0.16	0.19	0.437	core
A1BG	HPR	0.34	0.376	0.086	0.012	0.061	0.45	core
A1BG	HPX	0.587	0.564	0.013	0.002	0.103	0.411	core
A1BG	HRG	0.409	0.568	0.043	0.014	0.032	0.385	core
A1BG	ITIH1	0.503	0.497	0.062	0.0	0.07	0.435	core
A1BG	ITIH2	0.443	0.519	0.018	0.095	0.064	0.393	core
A1BG	ITIH3	0.332	0.487	0.04	0.083	0.043	0.441	core
A1BG	ITIH4	0.483	0.567	0.053	0.152	0.003	0.436	core
A1BG	KLKB1	0.331	0.534	0.117	0.072	0.039	0.296	core
A1BG	KNG1	0.45	0.564	0.015	0.014	0.047	0.448	core
A1BG	ORM1	0.381	0.525	0.258	0.188	0.054	0.436	core
A1BG	ORM2	0.588	0.553	0.035	0.011	0.114	0.472	core
A1BG	PLG	0.35	0.535	0.038	0.085	0.002	0.398	core
A1BG	PON1	0.451	0.533	0.003	0.008	0.042	0.421	core
A1BG	PON3	0.414	0.489	0.001	0.205	0.043	0.462	core
A1BG	PROC	0.386	0.389	0.091	0.133	0.039	0.431	core
A1BG	RBP4	0.484	0.532	0.021	0.001	0.039	0.427	core
A1BG	SARDH	0.302	0.119	0.047	0.005	0.001	0.394	core
A1BG	SERPINA1	0.32	0.553	0.003	0.152	0.056	0.401	core
A1BG	SERPINA4	0.341	0.518	0.019	0.115	0.039	0.39	core
A1BG	SERPINC1	0.454	0.555	0.003	0.003	0.049	0.421	core
A1BG	SERPIND1	0.451	0.538	0.025	0.072	0.042	0.408	core
A1BG	SERPINF2	0.399	0.53	0.069	0.087	0.026	0.42	core
A1BG	SERPING1	0.339	0.533	0.023	0.15	0.047	0.319	core
A1BG	TF	0.417	0.561	0.0	0.156	0.056	0.397	core
A1BG	TTR	0.429	0.536	0.104	0.073	0.058	0.441	core
A1BG	VTN	0.493	0.4	0.035	0.01	0.04	0.493	core
A1CF	ADH4	0.336	0.001	0.071	0.008	0.075	0.472	core
A1CF	AGXT2	0.327	0.001	0.031	0.079	0.075	0.496	core
A1CF	AKR1C4	0.312	0.003	0.03	0.107	0.106	0.489	core
A1CF	AKR1D1	0.387	0.004	0.024	0.078	0.112	0.499	core
A1CF	APOA1	0.32	0.003	0.059	0.078	0.123	0.428	core
A1CF	APOA2	0.335	0.005	0.098	0.011	0.134	0.443	core
A1CF	APOC2	0.322	0.051	0.03	0.17	0.068	0.446	core
A1CF	APOC3	0.323	0.041	0.089	0.002	0.092	0.456	core
A1CF	APOH	0.307	0.044	0.022	0.002	0.116	0.391	core
A1CF	ASGR1	0.341	0.003	0.047	0.108	0.123	0.416	core
A1CF	CSTF2	0.305	0.041	0.012	0.495	0.114	0.067	core
A1CF	CSTF2T	0.375	0.001	0.127	0.492	0.123	0.094	core
A1CF	CYP2C8	0.328	0.05	0.119	0.197	0.074	0.45	core
A1CF	CYP4A11	0.342	0.005	0.073	0.008	0.099	0.445	core
A1CF	CYP4F2	0.381	0.004	0.013	0.076	0.127	0.531	core
A1CF	F2	0.307	0.045	0.086	0.002	0.088	0.431	core
A1CF	F7	0.31	0.004	0.024	0.106	0.128	0.378	core
A1CF	FGA	0.314	0.006	0.029	0.01	0.144	0.461	core
A1CF	KNG1	0.361	0.0	0.02	0.01	0.12	0.479	core
A1CF	MTTP	0.326	0.004	0.026	0.186	0.089	0.43	core
A1CF	NR1H4	0.309	0.041	0.031	0.111	0.135	0.447	core
A1CF	PABPC4	0.316	0.046	0.04	0.549	0.121	0.047	core
A1CF	PAH	0.318	0.007	0.019	0.123	0.093	0.467	core
A1CF	SERPINF2	0.327	0.051	0.049	0.007	0.091	0.443	core
A1CF	SYNCRIP	0.363	0.037	0.021	0.095	0.477	0.073	core
A1CF	TF	0.307	0.043	0.032	0.108	0.135	0.401	core
A1CF	TFR2	0.303	0.039	0.069	0.157	0.146	0.43	core
A1CF	TTR	0.319	0.004	0.095	0.002	0.134	0.435	core
A2M	AMBP	0.493	0.45	0.062	0.122	0.448	0.235	core
A2M	APOA2	0.334	0.447	0.035	0.009	0.159	0.333	core
A2M	APOA4	0.318	0.376	0.017	0.014	0.157	0.356	core
A2M	APOC2	0.394	0.365	0.228	0.075	0.08	0.405	core
A2M	APOE	0.525	0.393	0.029	0.0	0.464	0.224	core
A2M	C1R	0.3	0.421	0.004	0.016	0.111	0.293	core
A2M	C3	0.32	0.478	0.135	0.115	0.154	0.253	core
A2M	C4B	0.322	0.377	0.012	0.108	0.09	0.136	core
A2M	C4BPB	0.31	0.452	0.019	0.175	0.151	0.204	core
A2M	CHI3L1	0.306	0.475	0.087	0.087	0.115	0.214	core
A2M	CPQ	0.303	0.519	0.017	0.125	0.099	0.171	core
A2M	FGA	0.321	0.441	0.013	0.004	0.156	0.333	core
A2M	FGB	0.349	0.43	0.045	0.072	0.157	0.318	core
A2M	FGF10	0.326	0.053	0.099	0.007	0.138	0.449	core
A2M	GPR148	0.333	0.02	0.049	0.036	0.072	0.444	core
A2M	HRG	0.303	0.435	0.017	0.098	0.024	0.388	core
A2M	IL10	0.32	0.046	0.017	0.006	0.447	0.167	core
A2M	KLK3	0.457	0.039	0.016	0.176	0.465	0.099	core
A2M	KNG1	0.354	0.446	0.06	0.08	0.152	0.321	core
A2M	KRAS	0.309	0.159	0.137	0.342	0.108	0.061	core
A2M	LCAT	0.371	0.295	0.072	0.074	0.446	0.088	core
A2M	MMP2	0.478	0.23	0.038	0.003	0.508	0.188	core
A2M	PLG	0.336	0.435	0.057	0.01	0.078	0.36	core
A2M	SERPINA1	0.324	0.465	0.003	0.084	0.154	0.239	core
A2M	WNT3A	0.33	0.006	0.119	0.138	0.065	0.472	core
A2ML1	CNFN	0.321	0.0	0.039	0.087	0.071	0.445	core
A2ML1	CRNN	0.37	0.04	0.025	0.106	0.15	0.461	core
A2ML1	DSG3	0.408	0.122	0.022	0.241	0.158	0.502	core
A2ML1	KLK13	0.301	0.006	0.039	0.161	0.052	0.487	core
A2ML1	KRT13	0.3	0.081	0.07	0.004	0.032	0.479	core
A2ML1	NCCRP1	0.313	0.3	0.071	0.002	0.142	0.384	core
A2ML1	SPRR1A	0.322	0.048	0.029	0.011	0.027	0.443	core
A2ML1	SPRR3	0.363	0.076	0.039	0.115	0.053	0.469	core
A2ML1	TGM3	0.319	0.003	0.039	0.004	0.162	0.404	core
AAAS	AXIN2	0.321	0.004	0.031	0.005	0.079	0.386	core
AAAS	BMP4	0.303	0.038	0.039	0.007	0.077	0.402	core
AAAS	DAB2	0.32	0.127	0.039	0.092	0.336	0.442	core
AAAS	GLE1	0.551	0.167	0.132	0.37	0.507	0.213	core
AAAS	NDC1	0.683	0.556	0.455	0.154	0.489	0.285	core
AAAS	NUP35	0.497	0.355	0.334	0.003	0.452	0.242	core
AAAS	NUP37	0.499	0.419	0.214	0.01	0.456	0.283	core
AAAS	NUP43	0.44	0.237	0.18	0.01	0.454	0.249	core
AAAS	NUP85	0.494	0.447	0.11	0.095	0.459	0.26	core
AAAS	NUP93	0.382	0.443	0.106	0.101	0.414	0.264	core
AAAS	NUP98	0.303	0.448	0.152	0.073	0.42	0.17	core
AAAS	NUP107	0.545	0.46	0.1	0.266	0.454	0.292	core
AAAS	NUP133	0.582	0.56	0.068	0.015	0.439	0.251	core
AAAS	NUP155	0.39	0.394	0.305	0.115	0.438	0.202	core
AAAS	NUP160	0.569	0.497	0.054	0.084	0.458	0.241	core
AAAS	NUP188	0.516	0.415	0.209	0.01	0.481	0.289	core
AAAS	NUP205	0.504	0.489	0.21	0.004	0.448	0.26	core
AAAS	NUP210	0.405	0.198	0.034	0.1	0.454	0.143	core
AAAS	NUPL2	0.423	0.177	0.163	0.005	0.456	0.279	core
AAAS	NXF1	0.435	0.344	0.034	0.013	0.496	0.142	core
AAAS	SEH1L	0.383	0.315	0.178	0.012	0.437	0.193	core
AAAS	SENP2	0.451	0.285	0.104	0.004	0.467	0.171	core
AAAS	SMPD4	0.355	0.35	0.075	0.08	0.429	0.281	core
AAAS	SNCA	0.311	0.127	0.052	0.16	0.163	0.402	core
AAAS	SUMO1	0.469	0.216	0.043	0.072	0.518	0.219	core
AAAS	TMEM209	0.53	0.392	0.021	0.036	0.481	0.168	core
AAAS	TMEM214	0.426	0.191	0.047	0.073	0.471	0.181	core
AAAS	TTK	0.302	0.146	0.103	0.459	0.139	0.312	core
AAAS	UBE2I	0.398	0.125	0.119	0.014	0.45	0.261	core
AACS	ADIPOQ	0.317	0.066	0.003	0.111	0.105	0.403	core
AADAC	CYP3A4	0.317	0.005	0.082	0.144	0.079	0.415	core
AAGAB	EGF	0.301	0.06	0.028	0.089	0.07	0.345	core
AAK1	ACTB	0.4	0.294	0.137	0.015	0.454	0.127	core
AAK1	ACTR3	0.337	0.407	0.053	0.154	0.393	0.18	core
AAK1	ADIPOQ	0.331	0.065	0.048	0.101	0.08	0.43	core
AAK1	AP1AR	0.393	0.082	0.026	0.006	0.479	0.088	core
AAK1	AP1B1	0.475	0.231	0.125	0.086	0.495	0.125	core
AAK1	AP1G1	0.397	0.155	0.027	0.128	0.486	0.158	core
AAK1	AP1S1	0.379	0.117	0.047	0.009	0.489	0.121	core
AAK1	AP1S2	0.311	0.101	0.011	0.004	0.446	0.137	core
AAK1	AP2A1	0.412	0.194	0.047	0.007	0.497	0.104	core
AAK1	AP2A2	0.432	0.212	0.017	0.014	0.486	0.117	core
AAK1	AP2B1	0.512	0.276	0.029	0.176	0.503	0.142	core
AAK1	AP2M1	0.588	0.233	0.015	0.15	0.557	0.144	core
AAK1	AP2S1	0.481	0.292	0.014	0.016	0.505	0.11	core
AAK1	ARPC2	0.335	0.438	0.043	0.013	0.302	0.181	core
AAK1	ATP13A2	0.333	0.076	0.128	0.14	0.463	0.157	core
AAK1	BMP2K	0.472	0.334	0.032	0.119	0.493	0.153	core
AAK1	CLINT1	0.374	0.167	0.025	0.002	0.458	0.096	core
AAK1	CLTC	0.351	0.143	0.108	0.004	0.456	0.183	core
AAK1	CSNK1D	0.307	0.077	0.157	0.445	0.265	0.121	core
AAK1	DAB2	0.301	0.188	0.065	0.093	0.44	0.193	core
AAK1	EPS15	0.431	0.265	0.069	0.004	0.475	0.137	core
AAK1	FCHO2	0.368	0.227	0.024	0.181	0.458	0.092	core
AAK1	GAK	0.407	0.193	0.045	0.002	0.471	0.108	core
AAK1	GTSE1	0.383	0.118	0.169	0.079	0.497	0.08	core
AAK1	MYH9	0.388	0.29	0.041	0.004	0.434	0.319	core
AAK1	MYO5A	0.367	0.239	0.03	0.01	0.384	0.332	core
AAK1	NUMB	0.408	0.166	0.075	0.445	0.435	0.095	core
AAK1	PICALM	0.329	0.283	0.022	0.004	0.43	0.197	core
AAK1	PRKAA1	0.316	0.235	0.083	0.416	0.235	0.077	core
AAK1	PRKCD	0.3	0.232	0.069	0.443	0.252	0.134	core
AAK1	PSMA8	0.33	0.076	0.013	0.145	0.137	0.424	core
AAK1	RALBP1	0.343	0.11	0.085	0.001	0.464	0.129	core
AAK1	REPS1	0.387	0.079	0.014	0.075	0.521	0.085	core
AAK1	STAMBPL1	0.357	0.093	0.102	0.009	0.493	0.065	core
AAK1	STON2	0.367	0.136	0.02	0.001	0.469	0.095	core
AAK1	SYNJ1	0.366	0.175	0.013	0.097	0.446	0.261	core
AAMP	ACE2	0.34	0.003	0.011	0.009	0.465	0.045	core
AAMP	AEN	0.337	0.003	0.067	0.006	0.434	0.146	core
AAMP	DAB2	0.315	0.13	0.023	0.006	0.255	0.449	core
AAMP	HSPA1A	0.426	0.004	0.085	0.085	0.222	0.483	core
AAMP	HSPA1B	0.356	0.179	0.142	0.075	0.204	0.472	core
AAMP	IFNG	0.326	0.07	0.021	0.01	0.111	0.44	core
AAMP	PAK1IP1	0.302	0.099	0.255	0.407	0.307	0.195	core
AAMP	PSMA8	0.303	0.071	0.152	0.116	0.135	0.416	core
AAMP	RAE1	0.301	0.289	0.078	0.4	0.197	0.246	core
AAMP	RBBP5	0.31	0.208	0.065	0.4	0.227	0.201	core
AAMP	RPL10	0.371	0.129	0.004	0.003	0.451	0.158	core
AAMP	TBXA2R	0.319	0.004	0.036	0.153	0.445	0.095	core
AAMP	TERT	0.319	0.06	0.032	0.127	0.079	0.405	core
AAR2	CRNKL1	0.3	0.264	0.051	0.42	0.375	0.284	core
AAR2	EAPP	0.38	0.148	0.091	0.036	0.449	0.18	core
AAR2	ECD	0.482	0.222	0.077	0.036	0.483	0.251	core
AAR2	PRPF3	0.339	0.134	0.022	0.431	0.354	0.187	core
AAR2	PRPF4	0.38	0.103	0.089	0.531	0.382	0.212	core
AAR2	PRPF6	0.435	0.11	0.066	0.502	0.359	0.37	core
AAR2	PRPF8	0.573	0.144	0.074	0.666	0.429	0.244	core
AAR2	PRPF31	0.348	0.139	0.014	0.415	0.4	0.272	core
AAR2	SART1	0.365	0.091	0.064	0.464	0.381	0.23	core
AAR2	SMU1	0.358	0.121	0.065	0.036	0.434	0.366	core
AAR2	SNCA	0.305	0.197	0.065	0.036	0.213	0.352	core
AAR2	SNRNP200	0.54	0.221	0.076	0.523	0.436	0.204	core
AAR2	SNRPD1	0.401	0.097	0.067	0.523	0.347	0.202	core
AAR2	SNRPD2	0.313	0.104	0.018	0.417	0.385	0.256	core
AAR2	SNRPF	0.305	0.107	0.053	0.458	0.372	0.184	core
AAR2	TNF	0.35	0.02	0.096	0.036	0.156	0.437	core
AAR2	TSSC4	0.467	0.105	0.169	0.036	0.481	0.23	core
AAR2	ZNHIT2	0.492	0.155	0.044	0.036	0.5	0.215	core
AARS	DARS	0.438	0.258	0.015	0.491	0.189	0.218	core
AARS	DDX19A	0.321	0.423	0.055	0.006	0.141	0.32	core
AARS	EIF2B1	0.318	0.238	0.054	0.426	0.201	0.229	core
AARS	EIF2B2	0.318	0.2	0.023	0.427	0.22	0.178	core
AARS	EIF2B5	0.307	0.287	0.048	0.382	0.141	0.272	core
AARS	EIF2S1	0.306	0.165	0.177	0.426	0.243	0.243	core
AARS	FARSB	0.35	0.188	0.02	0.485	0.154	0.247	core
AARS	GARS	0.301	0.328	0.084	0.488	0.148	0.39	core
AARS	HBA2	0.324	0.02	0.008	0.036	0.229	0.292	core
AARS	HDLBP	0.334	0.222	0.023	0.444	0.172	0.257	core
AARS	IARS	0.321	0.243	0.03	0.489	0.123	0.339	core
AARS	INS	0.349	0.04	0.054	0.177	0.002	0.445	core
AARS	TARS	0.312	0.29	0.023	0.5	0.127	0.4	core
AARS	VCP	0.377	0.172	0.03	0.488	0.107	0.258	core
AARS	XPOT	0.318	0.291	0.139	0.376	0.138	0.348	core
AARS2	BCS1L	0.303	0.242	0.544	0.091	0.212	0.263	core
AARS2	COQ3	0.304	0.278	0.496	0.399	0.154	0.217	core
AARS2	COQ5	0.334	0.3	0.464	0.036	0.163	0.185	core
AARS2	COX15	0.31	0.209	0.535	0.225	0.08	0.232	core
AARS2	DAB2	0.336	0.113	0.052	0.091	0.231	0.384	core
AARS2	DAP3	0.342	0.314	0.54	0.002	0.205	0.238	core
AARS2	DARS2	0.422	0.271	0.583	0.005	0.156	0.218	core
AARS2	EARS2	0.437	0.247	0.773	0.008	0.123	0.234	core
AARS2	FARS2	0.365	0.375	0.733	0.133	0.2	0.219	core
AARS2	FOXRED1	0.351	0.219	0.531	0.206	0.155	0.227	core
AARS2	GATB	0.339	0.292	0.56	0.101	0.128	0.188	core
AARS2	HLA-A	0.64	0.142	0.107	0.012	0.058	0.097	core
AARS2	LARS2	0.474	0.249	0.672	0.335	0.06	0.255	core
AARS2	LIG3	0.364	0.255	0.489	0.003	0.1	0.29	core
AARS2	LRPPRC	0.381	0.176	0.558	0.207	0.067	0.213	core
AARS2	MARS2	0.5	0.229	0.662	0.151	0.054	0.289	core
AARS2	METTL17	0.384	0.215	0.53	0.036	0.102	0.241	core
AARS2	MFN2	0.301	0.228	0.45	0.159	0.049	0.179	core
AARS2	MRM2	0.336	0.226	0.478	0.107	0.057	0.175	core
AARS2	MRPL2	0.495	0.354	0.67	0.01	0.1	0.335	core
AARS2	MRPL3	0.414	0.288	0.574	0.078	0.102	0.21	core
AARS2	MRPL4	0.401	0.308	0.56	0.22	0.103	0.251	core
AARS2	MRPL9	0.419	0.342	0.55	0.082	0.102	0.166	core
AARS2	MRPL10	0.375	0.211	0.65	0.23	0.102	0.176	core
AARS2	MRPL12	0.313	0.239	0.57	0.226	0.106	0.136	core
AARS2	MRPL13	0.446	0.255	0.575	0.008	0.101	0.151	core
AARS2	MRPL14	0.382	0.219	0.618	0.146	0.103	0.301	core
AARS2	MRPL15	0.39	0.318	0.682	0.003	0.094	0.159	core
AARS2	MRPL16	0.451	0.287	0.639	0.008	0.103	0.169	core
AARS2	MRPL17	0.438	0.264	0.661	0.013	0.103	0.186	core
AARS2	MRPL18	0.407	0.287	0.556	0.002	0.102	0.149	core
AARS2	MRPL19	0.333	0.312	0.493	0.12	0.109	0.141	core
AARS2	MRPL21	0.475	0.421	0.593	0.103	0.114	0.172	core
AARS2	MRPL22	0.37	0.354	0.496	0.015	0.1	0.148	core
AARS2	MRPL23	0.437	0.271	0.659	0.131	0.108	0.207	core
AARS2	MRPL24	0.343	0.339	0.475	0.095	0.104	0.179	core
AARS2	MRPL27	0.382	0.361	0.465	0.118	0.101	0.222	core
AARS2	MRPL28	0.461	0.263	0.612	0.004	0.101	0.191	core
AARS2	MRPL30	0.331	0.308	0.517	0.156	0.102	0.115	core
AARS2	MRPL32	0.379	0.312	0.585	0.14	0.103	0.152	core
AARS2	MRPL33	0.309	0.238	0.628	0.107	0.104	0.104	core
AARS2	MRPL35	0.392	0.232	0.566	0.216	0.101	0.169	core
AARS2	MRPL37	0.368	0.341	0.512	0.135	0.102	0.177	core
AARS2	MRPL38	0.425	0.323	0.601	0.136	0.104	0.239	core
AARS2	MRPL39	0.381	0.352	0.711	0.123	0.101	0.144	core
AARS2	MRPL42	0.329	0.314	0.455	0.118	0.101	0.192	core
AARS2	MRPL43	0.361	0.214	0.65	0.108	0.108	0.172	core
AARS2	MRPL44	0.374	0.244	0.52	0.016	0.107	0.178	core
AARS2	MRPL45	0.357	0.257	0.505	0.212	0.102	0.235	core
AARS2	MRPL46	0.379	0.397	0.593	0.015	0.102	0.188	core
AARS2	MRPL47	0.399	0.35	0.564	0.109	0.101	0.176	core
AARS2	MRPL48	0.372	0.24	0.607	0.153	0.102	0.263	core
AARS2	MRPL49	0.387	0.341	0.538	0.098	0.103	0.166	core
AARS2	MRPL50	0.364	0.277	0.495	0.072	0.106	0.167	core
AARS2	MRPL51	0.3	0.221	0.485	0.014	0.109	0.18	core
AARS2	MRPL53	0.318	0.25	0.511	0.074	0.101	0.14	core
AARS2	MRPL54	0.34	0.266	0.512	0.089	0.11	0.134	core
AARS2	MRPL55	0.344	0.233	0.61	0.002	0.101	0.183	core
AARS2	MRPL57	0.316	0.151	0.608	0.093	0.058	0.162	core
AARS2	MRPS2	0.354	0.149	0.577	0.154	0.1	0.177	core
AARS2	MRPS5	0.351	0.205	0.563	0.002	0.1	0.174	core
AARS2	MRPS7	0.389	0.265	0.529	0.001	0.075	0.233	core
AARS2	MRPS9	0.366	0.216	0.579	0.123	0.098	0.17	core
AARS2	MRPS10	0.347	0.282	0.619	0.155	0.07	0.162	core
AARS2	MRPS11	0.459	0.27	0.605	0.114	0.098	0.194	core
AARS2	MRPS12	0.444	0.25	0.732	0.004	0.067	0.178	core
AARS2	MRPS14	0.384	0.227	0.591	0.161	0.1	0.216	core
AARS2	MRPS16	0.318	0.168	0.548	0.364	0.101	0.175	core
AARS2	MRPS18A	0.383	0.176	0.545	0.008	0.102	0.253	core
AARS2	MRPS18B	0.447	0.282	0.654	0.111	0.101	0.203	core
AARS2	MRPS18C	0.316	0.264	0.52	0.007	0.059	0.15	core
AARS2	MRPS21	0.336	0.156	0.553	0.071	0.099	0.205	core
AARS2	MRPS22	0.378	0.302	0.546	0.079	0.107	0.161	core
AARS2	MRPS23	0.331	0.188	0.604	0.008	0.108	0.24	core
AARS2	MRPS24	0.329	0.212	0.677	0.002	0.059	0.114	core
AARS2	MRPS25	0.449	0.263	0.591	0.003	0.101	0.238	core
AARS2	MRPS26	0.429	0.305	0.59	0.079	0.102	0.186	core
AARS2	MRPS27	0.415	0.272	0.53	0.21	0.101	0.211	core
AARS2	MRPS28	0.432	0.266	0.571	0.084	0.059	0.217	core
AARS2	MRPS30	0.367	0.364	0.471	0.004	0.102	0.212	core
AARS2	MRPS31	0.401	0.237	0.542	0.217	0.101	0.179	core
AARS2	MRPS33	0.334	0.312	0.468	0.075	0.114	0.181	core
AARS2	MRPS34	0.411	0.275	0.531	0.116	0.103	0.176	core
AARS2	MRPS35	0.4	0.307	0.54	0.007	0.103	0.159	core
AARS2	MTERF3	0.318	0.158	0.536	0.096	0.058	0.212	core
AARS2	MTERF4	0.392	0.261	0.507	0.014	0.064	0.178	core
AARS2	MTFMT	0.333	0.159	0.501	0.395	0.041	0.156	core
AARS2	MTG1	0.49	0.249	0.579	0.291	0.052	0.153	core
AARS2	MTG2	0.449	0.134	0.677	0.014	0.056	0.2	core
AARS2	MTIF2	0.353	0.341	0.461	0.008	0.067	0.241	core
AARS2	MTPAP	0.32	0.213	0.524	0.213	0.094	0.214	core
AARS2	NARS2	0.422	0.223	0.565	0.011	0.055	0.212	core
AARS2	NDUFAF1	0.314	0.236	0.542	0.091	0.094	0.141	core
AARS2	NDUFAF7	0.334	0.189	0.49	0.102	0.062	0.177	core
AARS2	NDUFS7	0.308	0.171	0.502	0.016	0.067	0.198	core
AARS2	NOA1	0.423	0.251	0.484	0.422	0.047	0.166	core
AARS2	NSUN4	0.425	0.317	0.571	0.012	0.096	0.174	core
AARS2	PARS2	0.384	0.233	0.506	0.036	0.045	0.221	core
AARS2	PDE12	0.345	0.172	0.47	0.036	0.063	0.163	core
AARS2	PNPT1	0.325	0.227	0.523	0.005	0.07	0.186	core
AARS2	POLG	0.433	0.15	0.583	0.147	0.068	0.221	core
AARS2	POLG2	0.389	0.165	0.574	0.115	0.076	0.223	core
AARS2	POLRMT	0.405	0.156	0.569	0.008	0.101	0.247	core
AARS2	PTCD3	0.451	0.279	0.645	0.011	0.101	0.308	core
AARS2	QRSL1	0.441	0.187	0.632	0.009	0.051	0.183	core
AARS2	RAD51	0.327	0.074	0.219	0.514	0.107	0.176	core
AARS2	RARS2	0.45	0.295	0.637	0.087	0.105	0.228	core
AARS2	RBFA	0.317	0.157	0.484	0.036	0.066	0.128	core
AARS2	RMND1	0.316	0.247	0.448	0.01	0.118	0.194	core
AARS2	RPUSD4	0.394	0.135	0.552	0.036	0.094	0.208	core
AARS2	SARS2	0.417	0.266	0.635	0.005	0.054	0.171	core
AARS2	SCO2	0.303	0.134	0.528	0.001	0.061	0.145	core
AARS2	SSBP1	0.397	0.407	0.549	0.405	0.062	0.17	core
AARS2	SUPV3L1	0.383	0.246	0.497	0.013	0.058	0.154	core
AARS2	TARS2	0.423	0.311	0.617	0.4	0.062	0.28	core
AARS2	TFAM	0.415	0.257	0.539	0.071	0.055	0.15	core
AARS2	TFB1M	0.317	0.211	0.533	0.016	0.1	0.125	core
AARS2	TMEM242	0.303	0.02	0.488	0.036	0.045	0.189	core
AARS2	TOMM20	0.302	0.286	0.439	0.093	0.061	0.179	core
AARS2	TOMM70	0.343	0.289	0.477	0.082	0.028	0.187	core
AARS2	TRMT10C	0.409	0.246	0.588	0.009	0.1	0.245	core
AARS2	TRUB2	0.371	0.192	0.576	0.076	0.108	0.174	core
AARS2	TXN2	0.329	0.305	0.477	0.221	0.058	0.192	core
AARS2	UQCR10	0.341	0.267	0.499	0.0	0.067	0.15	core
AARS2	UQCRB	0.41	0.199	0.541	0.003	0.056	0.176	core
AARS2	UQCRC2	0.334	0.22	0.555	0.217	0.099	0.149	core
AARS2	VARS2	0.461	0.265	0.588	0.036	0.066	0.315	core
AARS2	WARS2	0.4	0.244	0.555	0.014	0.104	0.152	core
AARS2	YARS2	0.417	0.277	0.54	0.12	0.113	0.195	core
AARSD1	DYNLT1	0.473	0.114	0.124	0.085	0.505	0.2	core
AARSD1	HECTD1	0.444	0.082	0.145	0.036	0.484	0.175	core
